Project name,Alternate name,Country,River,Latitude,Longitude,Function,Status,COD Year,Installed capacity MW,Mean annual energy GW,Max. Irrigation Area km2,Height M,Crest length M,Total storage (FSL) Million m3,Max reservoir area km2,No. displaced People,Est. cost Mil. US$
Nam Pha Gnai,,LAO,Nam Pha Gnai,19.013318,102.873368,HPD,UCON,2016-01-01T00:00:00Z,19.2,130,,,,,1.5,,43
Nam Phak 1,,LAO,Nam Phak,20.931484,102.123253,HPD,PLAN,,28,106.07,,,,,1.65,,
Nam Phak 2,,LAO,Nam Phak,20.99419,102.074147,HPD,PLAN,,28,106.5,,,,,,,
Nam Phak 3,,LAO,Nam Phak,21.011124,101.996979,HPD,PLAN,,40,152,,,,,,,
Nam Phak (Nam Phak),,LAO,Nam Phak,15.075548,106.139196,HPD,PLAN,2018-01-01T00:00:00Z,75,307,,,,,,,
Nam Phay,,LAO,Nam Ngum,19.109357,102.757461,HPD,PLAN,2017-01-01T00:00:00Z,86,419.5,,,,,,,218
Nam Phayu,,LAO,Nam Phayu,15.53546,107.307963,HPD,PLAN,,30,150,,,,,,,
Nam Phoun,Nam Poun/Nam Phouan,LAO,Nam Phun,18.814397,103.369572,HPD,PLAN,2017-01-01T00:00:00Z,52.8,202.5,,,,,,,
Nam Pot,,LAO,Nam Pot,18.35508,102.688554,ID,COMM,,,,,,,,,,
Nam Phoun,,LAO,Nam Phoun,18.456328,101.473024,HPD,PLAN,2017-01-01T00:00:00Z,50,246,,,,,,,
Nam Poui,,LAO,Nam Pouy,18.897473,101.473777,HPD,PLAN,2019-01-01T00:00:00Z,60,294,,,,,,,
Nam San 3A,,LAO,Nam San,19.129054,103.663052,HPD,UCON,,69,278.4,,75,350,123,8.5,"2,832",
Nam San 3B,,LAO,Nam San,19.085633,103.619938,HPD,COMM,,45,198,,,,,,,
Nam Song Diversion,,LAO,Nam Song,18.798054,102.427037,HPD,COMM,1996-01-01T00:00:00Z,6,25,,,,,1.3,,
Nam Suang 1,,LAO,Nam Suang,20.051733,102.328267,HPD,PLAN,2020-01-01T00:00:00Z,40,187,,,,,,,
Nam Suang 2,,LAO,Nam Suang,20.148683,102.6426,HPD,PLAN,2020-01-01T00:00:00Z,134,617.6,,,,3817,101.1,,
Nam Tha 1,,LAO,Nam Tha,20.249467,100.892433,HPD,UCON,2018-01-01T00:00:00Z,168,759.4,,93.65,349.200012,1755,,"10,523",447
Nam Theun (Keng Sau Ten),,LAO,Nam Theun,18.174231,104.77191,HPD,PLAN,,54,200,,,,,,,
Nam Theun 1,,LAO,Nam Theun,18.356733,104.148017,HPD,PLAN,2020-01-01T00:00:00Z,523,2016,,177,762,2772,80.7,"2,623",680
Nam Theun 2,,LAO,Nam Theun,17.997353,104.952306,HPD,COMM,2009-01-01T00:00:00Z,"1,075.00",5936,,48,325,3500,450,"6,300","1,300"
Nam Theun 4,,LAO,Nam Theun,18.665944,104.778222,HPD,PLAN,2020-01-01T00:00:00Z,80,300,,,,,,,
Nam Xuang,,LAO,Nam Xuang,18.244961,102.463488,ID,COMM,,,,,,,,,,
Nong Seuam,,LAO,Nam Seuam,18.137039,102.656116,ID,COMM,,,,,,,,,,
Pak Beng,,LAO,Mekong,19.843927,101.016502,HPD,PLAN,2022-01-01T00:00:00Z,912,4846,,85,943,,87,"1,100","1,880"
Pak Lay,,LAO,Mekong,18.327581,101.530575,HPD,PLAN,2030-01-01T00:00:00Z,"1,320.00",4252,,35,630,,108,"6,129","1,700"
Sanakham,Xanakham,LAO,Mekong,17.829183,101.556969,HPD,PLAN,2024-01-01T00:00:00Z,700,5015,,25,"1,144",,81,"12,950",
Santhong-Pakchom,Pak Chom,LAO,Mekong,18.201038,102.050588,HPD,PLAN,,"1,079.00",5052,,55,"1,200",,80.3,,
Theun-Hinboun,,LAO,Nam Theun/Hinboun,18.261005,104.562525,HPD,COMM,1998-01-01T00:00:00Z,220,1645,,27,330,,,,270
Theun-Hinboun exp.,Nam Gnouang,LAO,Nam Gnouang,18.297248,104.636171,HPD,COMM,2013-01-01T00:00:00Z,222,1395,,65,480,2450,105,,720
Xayabouri,,LAO,Mekong,19.254006,101.813699,HPD,UCON,2019-01-01T00:00:00Z,"1,285.00",6035.3,,48,810,1300,49,"2,100","2,000"
Xe Bang Hieng 1,,LAO,Xe Bang Hieng,16.229857,105.58319,HPD,PLAN,2020-01-01T00:00:00Z,60,182.2,,,,,,,
Xe Bang Hieng 2,,LAO,Xe Bang Hieng,16.848167,106.300822,HPD,PLAN,2020-01-01T00:00:00Z,90,288,,,,,,"2,700",
Xe Kaman 1,Xekaman 1 + Xanxai,LAO,Xe Kaman,14.960724,107.156336,HPD,COMM,2015-01-01T00:00:00Z,290,1096,,120,185,4804,149.8,,441
Xe Kaman 2A,,LAO,Xe Kaman,15.269677,107.450217,HPD,PLAN,,180,563.8,,63.5,188.399994,,,,
Xe Kaman 2B,,LAO,Xe Kaman,15.208894,107.43405,HPD,PLAN,,35,160,,85,294.299988,,,,
